address,age,bedroom,date,facilities,floor,func,latitude,longitude,meterage,parking,price,price_per_meter,properties,title,type,,,
تهران ، منطقه 2 ، دریان نو,"2, 0",2,,,,آپارتمان/برج,35.7108813929213,51.3627362251282,"9, 6",1,7.2 میلیارد,,مسکونی,فروش آپارتمان/برج 2 خوابه در دریان نو - منطقه 2 ,مسکونی,,,
تهران ، منطقه 10 ، جیحون," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.6985013590862,51.3630151748657,"6, 1"," , پ, ا, ر, ک, ی, ن, گ",3.5 میلیارد,,مسکونی,61متری/2 خوابه/  جیحون ,مسکونی,,,
تهران ، منطقه 10 ، رودکی جنوبی," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.6938380529536,51.3756684437766,"5, 2"," , پ, ا, ر, ک, ی, ن, گ",2.8 میلیارد,,مسکونی,52متر /دو خواب /رودکی ,مسکونی,,,
تهران ، منطقه 7 ، سهروردی شمالی,"2, 5",2,,,,آپارتمان/برج,35.7366006036666,51.4421155320242,"1, 0, 0",1,8 میلیارد,,مسکونی,100 متر سهروردی شمالی ,مسکونی,,,
تهران ، منطقه 7 ، سهروردی شمالی,"1, 7",1,,,,آپارتمان/برج,35.7366006036666,51.4421155320242,"5, 5",1,5.6 میلیارد,,مسکونی,55 متر سهروردی شمالی,مسکونی,,,
تهران ، منطقه 2 ، شهرک غرب,"1, 7",3,,,,آپارتمان/برج,35.7660687471361,51.379421630885,"1, 3, 5",2,20 میلیارد,,مسکونی,135متر فلامک شمالی/ زیر قیمت ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 5",2,,,,آپارتمان/برج,35.7773392146922,51.3763054820262,"1, 0, 5",1,12.5 میلیارد,,مسکونی,105متر مروارید  فول بازسازی ,مسکونی,,,
تهران ، منطقه 7 ، سهروردی شمالی,6,1,,,,آپارتمان/برج,35.7366006036666,51.4421155320242,"7, 7",1,7.8 میلیارد,,مسکونی,77 متر سهروردی شمالی,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,5,2,,,,آپارتمان/برج,35.7840448765828,51.3770998476809,"1, 0, 0",1,16 میلیارد,160 میلیون,مسکونی,فروش آپارتمان/ 2 خوابه در سعادت اباد - صرافهای جنوبی ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,1,3,,,,آپارتمان/برج,35.782005332352,51.3820105791092,"1, 5, 0",3,32.3 میلیارد,215.3 میلیون,مسکونی,سعادت آباد بلوار دریا 131متر3خواب 3پارکینگ سندی,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 0",3,,,,آپارتمان/برج,35.787509470126,51.3793166528957,"2, 0, 0",6,29.8 میلیارد,,مسکونی,200متر  فول مشاعات  6پارکینگ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 3",2,,,,آپارتمان/برج,35.7793839985547,51.3636530233436,"1, 1, 0",1,16 میلیارد,145.4 میلیون,مسکونی,فروش آپارتمان 110 متری 2 خواب در سعادت اباد ,مسکونی,,,
تهران ، منطقه 10 ، هفت چنار," , س, ا, ل, ه",1,,,,آپارتمان/برج,35.6756287918128,51.3698630403773,"4, 0"," , پ, ا, ر, ک, ی, ن, گ",2 میلیارد,,مسکونی,40 متر یک  خواب  حسام الدین ,مسکونی,,,
تهران ، منطقه 10 ، سلسبیل," , س, ا, ل, ه",1,,,,آپارتمان/برج,35.6950161330133,51.3727140426636,"4, 3"," , پ, ا, ر, ک, ی, ن, گ",2.3 میلیارد,,مسکونی,43 متر تک خواب رودکی آذربایجان ,مسکونی,,,
تهران ، منطقه 10 ، بریانک,"1, 0",2,,,,آپارتمان/برج,35.67682741938,51.3786993679799,"6, 0",1,3.3 میلیارد,,مسکونی,60 متر دو خواب فول امکانات بریانک,مسکونی,,,
تهران ، منطقه 10 ، هاشمی," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.6836688499425,51.3581678985905,"5, 0"," , پ, ا, ر, ک, ی, ن, گ",2.7 میلیارد,,مسکونی,50 متر دو خواب  40 متر حیاط  هاشمی,مسکونی,,,
تهران ، منطقه 10 ، کارون شمالی,"2, 0",1,,,,آپارتمان/برج,35.6985622792225,51.3647901426289,"5, 3",1,2.6 میلیارد,50 میلیون,مسکونی,53 متر  پارکینگ دار  کارون ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 7",2,,,,آپارتمان/برج,35.7813377968064,51.3632604577207,"1, 0, 7",1,13.5 میلیارد,,مسکونی,فروش آپارتمان 2 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 10 ، بریانک,"1, 8",2,,,,آپارتمان/برج,35.6695475847109,51.3739712858237,"6, 0",1,3 میلیارد,,مسکونی,60 متر دو خواب  پارکینگ دار,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 8",2,,,,آپارتمان/برج,35.7897947991985,51.3821768760681,"7, 0",1,10.5 میلیارد,,مسکونی,70متر2خوابه سعادت اباد,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 4",3,,,,آپارتمان/برج,35.7853869571553,51.3726676705407,"1, 3, 5",1,18.5 میلیارد,,مسکونی,فروش آپارتمان/ 3 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، شهرک غرب,1,3,,,,آپارتمان/برج,35.7638692176349,51.386627953824,"1, 4, 2",2,30 میلیارد,,مسکونی,فروش آپارتمان/برج 3 خوابه در شهرک غرب ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 8",2,,,,آپارتمان/برج,35.7758029054778,51.3667991929585,"1, 0, 0",1,16 میلیارد,,مسکونی,فروش آپارتمان/برج 2 خوابه در سعادت اباد ,مسکونی,,,
