age,bedroom,city,date,func,latitude,location,longitude,meterage,parking,price,price_per_meter,properties,region,region_city_loc,title,type
 ساله,"3,  خوابه",,6 دقیقه پیش,آپارتمان/برج,35.731939,,51.4127613,"115,  متر","1,  پارکینگ",13 میلیارد,,مسکونی,,تهران ، منطقه 2 ، دریان نو,فروش آپارتمان/ 3 خوابه در دریان نو - منطقه 2 ,مسکونی
"20,  ساله","2,  خوابه",,39 دقیقه پیش,آپارتمان/برج,35.731939,,51.4127613,"126,  متر","1,  پارکینگ",20 میلیارد,158 میلیون,مسکونی,,تهران ، منطقه 1 ، نیاوران,فروش آپارتمان/برج 2 خوابه در نیاوران - منطقه 1 ,مسکونی
"8,  ساله","2,  خوابه",,39 دقیقه پیش,آپارتمان/برج,35.731939,,51.4127613,"131,  متر","1,  پارکینگ",27 میلیارد,200 میلیون,مسکونی,,تهران ، منطقه 1 ، نیاوران,فروش آپارتمان/برج 2 خوابه در نیاوران - منطقه 1 ,مسکونی
 ساله,"3,  خوابه",,39 دقیقه پیش,آپارتمان/برج,35.731939,,51.4127613,"180,  متر","2,  پارکینگ",0,,مسکونی,,تهران ، منطقه 1 ، دربند,فروش آپارتمان/برج 3 خوابه در دربند - منطقه 1 ,مسکونی
"15,  ساله","3,  خوابه",,39 دقیقه پیش,آپارتمان/برج,35.731939,,51.4127613,"220,  متر","2,  پارکینگ",42 میلیارد,,مسکونی,,تهران ، منطقه 1 ، بوکان,فروش آپارتمان/برج 3 خوابه در بوکان - منطقه 1 ,مسکونی
"6,  ساله","3,  خوابه",,39 دقیقه پیش,آپارتمان/برج,35.731939,,51.4127613,"200,  متر","1,  پارکینگ",40 میلیارد,,مسکونی,,تهران ، منطقه 1 ، نیاوران,فروش آپارتمان/برج 3 خوابه در نیاوران - منطقه 1 ,مسکونی
"12,  ساله","2,  خوابه",,39 دقیقه پیش,آپارتمان/برج,35.731939,,51.4127613,"75,  متر","1,  پارکینگ",8.5 میلیارد,113 میلیون,مسکونی,,تهران ، منطقه 1 ، بوکان,فروش آپارتمان/برج 2 خوابه در بوکان - منطقه 1 ,مسکونی
 ساله,"2,  خوابه",,39 دقیقه پیش,آپارتمان/برج,35.731939,,51.4127613,"130,  متر","1,  پارکینگ",25.5 میلیارد,200 میلیون,مسکونی,,تهران ، منطقه 1 ، نیاوران,فروش آپارتمان/برج 2 خوابه در نیاوران - منطقه 1 ,مسکونی
 ساله,"2,  خوابه",,39 دقیقه پیش,آپارتمان/برج,35.731939,,51.4127613,"80,  متر","1,  پارکینگ",14 میلیارد,175 میلیون,مسکونی,,تهران ، منطقه 1 ، نیاوران,فروش آپارتمان/برج 2 خوابه در نیاوران - منطقه 1 ,مسکونی
"9,  ساله","3,  خوابه",,39 دقیقه پیش,آپارتمان/برج,35.731939,,51.4127613,"135,  متر","1,  پارکینگ",20 میلیارد,150 میلیون,مسکونی,,تهران ، منطقه 1 ، نیاوران,فروش آپارتمان/برج 3 خوابه در نیاوران - منطقه 1 ,مسکونی
"22,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"96,  متر","1,  پارکینگ",5.7 میلیارد,59 میلیون,مسکونی,,تهران ، منطقه 2 ، ستارخان,96 متر سنا خان,مسکونی
 ساله,"2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"70,  متر","1,  پارکینگ",0,,مسکونی,,تهران ، منطقه 6 ، کشاورز,فروش آپارتمان 2 خوابه در کشاورز - منطقه 6 ,مسکونی
 ساله,"2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"117,  متر","1,  پارکینگ",20.5 میلیارد,175 میلیون,مسکونی,,تهران ، منطقه 6 ، یوسف اباد,یوسف آباد 117 متر شخصی ساز,مسکونی
"6,  ساله","3,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"120,  متر","1,  پارکینگ",17.5 میلیارد,145.8 میلیون,مسکونی,,تهران ، منطقه 6 ، یوسف اباد,120متر 3خواب تک واحد,مسکونی
 ساله,"2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"97,  متر","1,  پارکینگ",16 میلیارد,165 میلیون,مسکونی,,تهران ، منطقه 6 ، یوسف اباد,97 متر 2 خواب مدرن ,مسکونی
 ساله,"2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"149,  متر","1,  پارکینگ",22.4 میلیارد,150 میلیون,مسکونی,,تهران ، منطقه 6 ، یوسف اباد,فروش آپارتمان 149 متری در یوسف آباد,مسکونی
"7,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"124,  متر","1,  پارکینگ",14.9 میلیارد,120 میلیون,مسکونی,,تهران ، منطقه 6 ، یوسف اباد,124 متری 2 خواب فول ,مسکونی
"19,  ساله","2,  خوابه",,1 ساعت پیش,آپارتمان/برج,35.731939,,51.4127613,"110,  متر","1,  پارکینگ",10.7 میلیارد,,مسکونی,,تهران ، منطقه 6 ، یوسف اباد,110 متری 2 خوابه طبقه دوم,مسکونی
